INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,DABUR,29-May-2014,0,XX,0,0,0,176.35,176.75,0,0,0,0,10-MAR-2014,
FUTSTK,DISHTV,27-Mar-2014,0,XX,50.9,51.8,50.4,50.65,50.65,581,2374.67,17800000,-864000,10-MAR-2014,
FUTSTK,DISHTV,24-Apr-2014,0,XX,51.7,51.95,50.9,51,51,11,45.32,840000,24000,10-MAR-2014,
FUTSTK,DISHTV,29-May-2014,0,XX,0,0,0,51.95,51.55,0,0,0,0,10-MAR-2014,
FUTSTK,DIVISLAB,27-Mar-2014,0,XX,1388.35,1394,1360.15,1383.65,1383.65,1065,3665.24,664000,-1250,10-MAR-2014,
FUTSTK,DIVISLAB,24-Apr-2014,0,XX,1385,1395.05,1374.5,1391.05,1391.05,25,86.59,18000,-250,10-MAR-2014,
FUTSTK,DIVISLAB,29-May-2014,0,XX,0,0,0,1454.45,1406,0,0,0,0,10-MAR-2014,
FUTSTK,DLF,27-Mar-2014,0,XX,165.15,174.75,164.6,172.15,172.15,11241,38366.16,34548000,414000,10-MAR-2014,
FUTSTK,DLF,24-Apr-2014,0,XX,166.25,174.55,165,172.35,172.35,388,1322.38,840000,-20000,10-MAR-2014,
FUTSTK,DLF,29-May-2014,0,XX,168.8,174.8,168.8,173.1,173.1,8,27.37,162000,6000,10-MAR-2014,
FUTSTK,DRREDDY,27-Mar-2014,0,XX,2734,2766.45,2670.8,2704.7,2704.7,5440,18427.62,1180500,88000,10-MAR-2014,
FUTSTK,DRREDDY,24-Apr-2014,0,XX,2723,2774,2673.6,2725.8,2725.8,146,495.63,71875,3625,10-MAR-2014,
FUTSTK,DRREDDY,29-May-2014,0,XX,0,0,0,2850.75,2746.15,0,0,125,0,10-MAR-2014,
FUTSTK,EXIDEIND,27-Mar-2014,0,XX,118.25,119.05,117.1,118.4,118.4,371,877.31,2704000,-136000,10-MAR-2014,
FUTSTK,EXIDEIND,24-Apr-2014,0,XX,119.4,119.45,118.8,119.25,119.25,21,50.06,60000,22000,10-MAR-2014,
FUTSTK,EXIDEIND,29-May-2014,0,XX,0,0,0,112.75,121,0,0,0,0,10-MAR-2014,
FUTSTK,FEDERALBNK,27-Mar-2014,0,XX,84.15,86.75,83.5,86.3,86.3,1131,3854.9,12768000,-380000,10-MAR-2014,
FUTSTK,FEDERALBNK,24-Apr-2014,0,XX,85.9,87.3,84.4,87,87,20,68.49,84000,24000,10-MAR-2014,
FUTSTK,FEDERALBNK,29-May-2014,0,XX,0,0,0,85.85,87.8,0,0,4000,0,10-MAR-2014,
FUTSTK,GAIL,27-Mar-2014,0,XX,389.7,392.15,381,381.85,381.85,1909,7341.18,2312000,142000,10-MAR-2014,
FUTSTK,GAIL,24-Apr-2014,0,XX,385.2,389.95,384,385.05,385.05,157,606.8,153000,115000,10-MAR-2014,
FUTSTK,GAIL,29-May-2014,0,XX,0,0,0,377.75,389.55,0,0,0,0,10-MAR-2014,
FUTSTK,GLENMARK,27-Mar-2014,0,XX,555.25,571.95,536.95,542.55,542.55,1088,3025.05,459000,58500,10-MAR-2014,
FUTSTK,GLENMARK,24-Apr-2014,0,XX,573.45,573.45,546.3,546.3,546.3,5,13.99,5000,2000,10-MAR-2014,
FUTSTK,GLENMARK,29-May-2014,0,XX,0,0,0,566,551.4,0,0,0,0,10-MAR-2014,
FUTSTK,GMRINFRA,27-Mar-2014,0,XX,21.8,22.7,21.4,22.1,22.1,2060,5007.99,58465000,-682000,10-MAR-2014,
FUTSTK,GMRINFRA,24-Apr-2014,0,XX,22.1,22.7,21.5,22.25,22.25,41,100.13,484000,110000,10-MAR-2014,
FUTSTK,GMRINFRA,29-May-2014,0,XX,0,0,0,21.15,22.55,0,0,0,0,10-MAR-2014,
FUTSTK,GODREJIND,27-Mar-2014,0,XX,288.5,300.5,287.3,299.15,299.15,1114,3289.45,615000,54000,10-MAR-2014,
FUTSTK,GODREJIND,24-Apr-2014,0,XX,298.1,302.15,298.1,302.15,302.15,2,6,4000,0,10-MAR-2014,
FUTSTK,GODREJIND,29-May-2014,0,XX,0,0,0,282.8,304.1,0,0,0,0,10-MAR-2014,
FUTSTK,GRASIM,27-Mar-2014,0,XX,2767.1,2806.65,2732.8,2770,2770,670,2322.04,432125,18875,10-MAR-2014,
FUTSTK,GRASIM,24-Apr-2014,0,XX,2756.05,2815.4,2738,2790,2790,39,135.45,10000,1625,10-MAR-2014,
FUTSTK,GRASIM,29-May-2014,0,XX,0,0,0,2629.65,2811.2,0,0,0,0,10-MAR-2014,
FUTSTK,GSKCONS,27-Mar-2014,0,XX,4265.7,4265.7,4209,4236,4230.15,28,148.14,8125,2000,10-MAR-2014,
FUTSTK,GSKCONS,24-Apr-2014,0,XX,4288.9,4288.9,4288.9,4288.9,4263.1,1,5.36,125,125,10-MAR-2014,
FUTSTK,GSKCONS,29-May-2014,0,XX,0,0,0,4365.55,4304.15,0,0,0,0,10-MAR-2014,
FUTSTK,HAVELLS,27-Mar-2014,0,XX,811.35,845.95,810,841.1,841.1,1244,5169.38,428500,40500,10-MAR-2014,
FUTSTK,HAVELLS,24-Apr-2014,0,XX,838,838,838,838,847.75,1,4.19,2500,500,10-MAR-2014,
FUTSTK,HAVELLS,29-May-2014,0,XX,0,0,0,786.1,855.9,0,0,0,0,10-MAR-2014,
FUTSTK,HCLTECH,27-Mar-2014,0,XX,1484.95,1488.8,1446.25,1450.75,1450.75,6940,25358.4,3386250,-31750,10-MAR-2014,
FUTSTK,HCLTECH,24-Apr-2014,0,XX,1496.65,1496.65,1456.5,1460.8,1460.8,214,785.9,89250,13250,10-MAR-2014,
FUTSTK,HCLTECH,29-May-2014,0,XX,1490,1490,1475.1,1475.1,1472.95,5,18.5,4750,750,10-MAR-2014,
FUTSTK,HDFC,27-Mar-2014,0,XX,848.95,863.55,836,855.8,855.8,6622,28169.62,4817000,124000,10-MAR-2014,
FUTSTK,HDFC,24-Apr-2014,0,XX,866.45,869.2,842.3,861.35,861.35,219,937.13,234500,56000,10-MAR-2014,
FUTSTK,HDFC,29-May-2014,0,XX,0,0,0,846.25,869.05,0,0,500,0,10-MAR-2014,
FUTSTK,HDFCBANK,27-Mar-2014,0,XX,712.9,743,712.55,740.25,740.25,31102,113767.78,17001500,3511000,10-MAR-2014,
FUTSTK,HDFCBANK,24-Apr-2014,0,XX,729.4,748.7,724.05,745.55,745.55,702,2587.36,439500,219500,10-MAR-2014,
FUTSTK,HDFCBANK,29-May-2014,0,XX,727.5,727.5,727.5,727.5,750.75,1,3.63,1500,0,10-MAR-2014,
FUTSTK,HDIL,27-Mar-2014,0,XX,47.9,50.8,47.55,49.85,49.85,2491,9873.87,25592000,-296000,10-MAR-2014,
FUTSTK,HDIL,24-Apr-2014,0,XX,48.5,50.65,48.25,50.1,50.1,43,171.38,592000,32000,10-MAR-2014,
FUTSTK,HDIL,29-May-2014,0,XX,0,0,0,42.1,50.7,0,0,0,0,10-MAR-2014,
FUTSTK,HEROMOTOCO,27-Mar-2014,0,XX,2009.95,2038.5,1996.05,2028.85,2028.85,5581,14083.74,1513875,57125,10-MAR-2014,
FUTSTK,HEROMOTOCO,24-Apr-2014,0,XX,2026.55,2043.5,2008.35,2037.85,2037.85,117,296.52,34750,4125,10-MAR-2014,
FUTSTK,HEROMOTOCO,29-May-2014,0,XX,2050,2050,2050,2050,2060.6,3,7.68,9375,-125,10-MAR-2014,
FUTSTK,HEXAWARE,27-Mar-2014,0,XX,155.5,157.8,153.95,154.85,154.85,1297,4028.34,7536000,-32000,10-MAR-2014,
FUTSTK,HEXAWARE,24-Apr-2014,0,XX,156.05,156.85,155,155.55,155.55,19,59.18,50000,24000,10-MAR-2014,
FUTSTK,HEXAWARE,29-May-2014,0,XX,0,0,0,170,157.85,0,0,0,0,10-MAR-2014,
FUTSTK,HINDALCO,27-Mar-2014,0,XX,123.05,124.3,121.45,122.65,122.65,6600,16203.84,25588000,-890000,10-MAR-2014,
FUTSTK,HINDALCO,24-Apr-2014,0,XX,123.7,125,122.75,123.5,123.5,165,408.03,688000,78000,10-MAR-2014,
FUTSTK,HINDALCO,29-May-2014,0,XX,124,124.95,123.6,124.95,124.65,4,9.93,28000,-2000,10-MAR-2014,
FUTSTK,HINDPETRO,27-Mar-2014,0,XX,289.55,293.4,285.8,290.95,290.95,1641,9524.58,6172000,196000,10-MAR-2014,
