Date,Open,High,Low,Close
1-December-2008,2686.02,2739.23,2593.52,2602.78,
2-December-2008,2522.27,2588.98,2499.71,2577.23,
3-December-2008,2607.36,2610.13,2546.28,2584.66,
4-December-2008,2596.45,2720.58,2581.39,2715.95,
5-December-2008,2708.83,2753.28,2636.82,2648.02,
8-December-2008,2732.73,2774.35,2683.26,2700.87,
10-December-2008,2741.86,2840.84,2731.22,2834.43,
11-December-2008,2843.85,2862.86,2779.26,2838.80,
12-December-2008,2764.83,2866.29,2735.62,2850.98,
15-December-2008,2888.05,2937.64,2883.46,2908.08,
16-December-2008,2899.21,2967.56,2896.70,2959.50,
17-December-2008,2991.69,2991.69,2868.45,2877.37,
18-December-2008,2876.09,2995.71,2853.12,2986.80,
19-December-2008,2970.42,3029.95,2969.69,3005.53,
22-December-2008,3011.59,3033.79,2950.33,2962.71,
23-December-2008,2937.84,2942.32,2874.83,2886.42,
24-December-2008,2872.14,2877.80,2838.86,2856.53,
26-December-2008,2876.07,2901.66,2783.27,2794.26,
29-December-2008,2792.89,2861.68,2751.20,2856.66,
30-December-2008,2880.72,2927.79,2844.00,2909.56,
31-December-2008,2934.56,2942.42,2875.87,2893.06,
1-January-2009,2912.52,2973.47,2912.44,2969.05,
2-January-2009,2991.62,3023.43,2962.15,2989.77,
